Designator,Mid X,Mid Y,Layer,Rotation,Value,Package
BTN1,20.9,1.83,Top,0, TS36CA-0.7, SMD
C1,13.5,4,Top,180,22, C0603
C2,10.5,8,Top,270,22, C0603
C3,6.5,17,Top,180, 10u, C0603
C4,17,16,Top,270, 100u, B/3528-21W
C5,28.5,12,Top,0, 10u, C0603
D1,29,2.5,Top,90, BLUE, LEDC2012X70N
D2,29,17.5,Top,270, BLUE, LEDC2012X70N
D3,3,3,Top,0, GREEN, LEDC2012X70N
IC1,12,14.5,Top,90, , SOT223
J1,7.26,10,Top,270, USB4105_REVA, GCT_USB4105_REVA
Q1,13.5,7.5,Top,90, 12MHz, SMD3225
R1,21,13.5,Top,180, 10K, R0603
R2,25,18,Top,0, 10K, R0603
R3,28.5,6,Top,180,470, R0603
R4,28.5,14,Top,180,470, R0603
R5,6.5,3,Top,0,470, R0603
R6,28.5,8,Top,180, 10K, R0603
R7,28.5,10,Top,180, 10K, R0603
T1,21,17,Top,270, BC847, SOT23
T2,25,14.5,Top,90, BC847, SOT23
U1,21,8,Top,180, CH340G, SOIC16
